Flex,Old Project ID,Old Project Name,New Flex 2.0 ESA ID,New Flex 2.0 ESA Project Description ,Verizon Sr.D name,Old Verizon TQ,Old SOW,Old Verizon TQ Descroption ,New TQ ID,New SOW,New Verizon TQ Descroption ,Tower Lead
Global SOW,1000445090,Verizon-VCG H&M Tanglewood-JAN,1000456940,Verizon-VCG HM Flex2.0 Tanglew,Apurava Sheth,VZGTTQ00010318,Old SOW,VCG Flex (Tanglewood) TQ4164 CTS,VZGTTQ00011832,New SOW,VCG Flex (Tanglewood) CTS TQ9703,Arun Jayaprakash 
Global SOW,1000410706,Verizon-VCG H&M Flex ACT 5G Pr,1000456928,Verizon-VCG HM Flex2.0 5G,Apurava Sheth,VZGTTQ00008385,Old SOW,VCG Flex 2024 (5G FWA Consumer Products) TQ4164 CTS,VZGTTQ00011596,New SOW,VCG Flex (5G FWA Consumer Products) TQ9703 CTS,Arun Jayaprakash 
Global SOW,1000410707,Verizon-VCG H&M Flex ACT Dig H,1000456930,Verizon-VCG HM Flex2.0 Dig Hom,Apurava Sheth,VZGTTQ00008947,Old SOW,VCG Flex (Home App) TQ4164 CTS,VZGTTQ00011409,New SOW,VCG Flex (5G FWA Digital Experience) TQ4164 CTS - 2025,Arun Jayaprakash 
,,,1000460544,Verizon-VCG Flex 2.0 Home App-,Apurava Sheth,,,,VZGTTQ00011434,New SOW,VCG Flex (Home App) TQ4164 CTS - 2025,Arun Jayaprakash 
Global SOW,1000412773,Verizon-VCG H&M Flex Mobile Of,1000456932,Verizon-VCG HM Flex 2.0 Mobile,Brian Hurd,VZGTTQ00008730,Old SOW,VCG Flex (Mobile Offers Post Paid) TQ4164 CTS,VZGTTQ00011797,New SOW,VCG Flex (Mobile Offers Post Paid) TQ9703  CTS,Vijay Vadalmudi 
Global SOW,1000416318,Verizon-VCG H&M Flex CPI EPC T,1000456939,Verizon-VCG HM Flex2.0 CPI EPC,Deepshikha Bansal,VZGTTQ00008473,Old SOW,VCG Flex 2024 (CPI_EPC_PRE_DEEPSHIKHA) TQ4164 CTS,VZGTTQ00011503,New SOW,VCG Flex 2024 (CPI_EPC_PRE_DEEPSHIKHA) TQ4164 CTS - 2025,Parthiban Ilango 
Global SOW,1000430852,Verizon-VCG H&M Federated inno,1000430852,Verizon-VCG H&M Federated inno,Deepshikha Bansal,VZGTTQ00009511,Old SOW,VCG Flex (Innovation - Federated Catalog) TQ4164 CTS,VZGTTQ00009511,New SOW,VCG Flex (Innovation - Federated Catalog) TQ4164 CTS,Parthiban Ilango 
Global SOW,1000431127,Verizon- VCG H&M Flex - Strate,1000459566,Verizon VCG Flex 2.0 HM Strate,Deepshikha Bansal,VZGTTQ00009462,Old SOW,VCG Flex (Strategically Ready Offers) TQ4164 CTS,VZGTTQ00012012,New SOW,VCG Flex (Strategically Ready Offers) TQ9703 CTS,Parthiban Ilango 
Global SOW,1000454900,Verizon-VCG HM OEM-Invoicing-J,1000454900,Verizon-VCG HM OEM-Invoicing-J,Deepshikha Bansal,VZGTTQ00011403,Old SOW,VCG Flex (OEM Invoicing) TQ4164 CTS,VZGTTQ00011403,New SOW,VCG Flex (OEM Invoicing) TQ4164 CTS,Parthiban Ilango 
Global SOW,1000415076,Verizon-VCG H&M Flex FPP TQ835,1000459568,Verizon-VCG H&M Flex 2.0  FPP-,Deepshikha Bansal,VZGTTQ00008351,Old SOW,VCG Flex 2024 (FPP) CTS TQ4164,VZGTTQ00012042,New SOW,VCG Flex 2024 (FPP) CTS TQ4164,Parthiban Ilango 
Global SOW,1000451136,Verizon-VCG H&M Contract Trans,1000456941,Verizon-VCG HM Flex2.0 Contrac,Deepshikha Bansal,VZGTTQ00011059,Old SOW,VCG Flex (XCIO VBG CBRO) CTS TQ4164,VZGTTQ00012094,New SOW,VCG Flex (XCIO VBG CBRO) CTS TQ4164,Parthiban Ilango 
Global SOW,1000447309,Verizon-VCG Maslov inst CMS HM,1000459572,Verizon-VCG Flex2.0 Maslov ins,Deepshikha Bansal,VZGTTQ00011829,Old SOW,VCG Flex (Maslow) CTS TQ9703,VZGTTQ00011829,New SOW,VCG Flex (Maslow) CTS TQ9703,Parthiban Ilango 
Global SOW,1000422748,Verizon-VCG H&M Flex Commissio,1000456890,Verizon-VCG HM Flex2.0 Commiss,Harsha Dave,VZGTTQ00008929,Old SOW,VCG Flex (Commissions) TQ4164 CTS,VZGTTQ00011825,New SOW,VCG Flex (Sales Performance and commission operations) TQ9703 CTS,Arun Jayaprakash 
Global SOW,1000445724,Verizon-VCG Flex Sales Perf Ex,1000456890,VCG Flex (Sales Performance and commission) TQ4164 CTS,Harsha Dave,VZGTTQ00010436,Old SOW,VCG Flex (Commissions) TQ4164 CTS,VZGTTQ00011825,New SOW,VCG Flex (Sales Performance and commission operations) TQ9703 CTS,Arun Jayaprakash 
Global SOW,1000417402,Verizon-VCG H&M Flex Elvis HM,1000459563,Verizon-VCG Flex 2.0 HM Elvis,Rama Achan ,VZGTTQ00009564,Old SOW,VCG Flex (Project Elvis) TQ4164 CTS,VZGTTQ00011460,New SOW,VCG Flex (Project Elvis) TQ4164 CTS - 2025,Kali Prasad
Global SOW,1000417403,Verizon-VCG H&M Flex DigiOps -,1000456926,Verizon-VCG HM Flex2.0 Digiops Business,Umar Mujeeb,VZGTTQ00008593,Old SOW,VCG Flex (Digital Ops Enabler) TQ4164 CTS,VZGTTQ00011597,New SOW,VCG Flex (Digital Ops Enabler) TQ4164 CTS - 2025,Kali Prasad
Global SOW,1000416320,Verizon-VCG Flex oneMessageHom,1000456896,Verizon-VCG HM Flex2.0 One Mes,Umar Mujeeb,VZGTTQ00009022,Old SOW,VCG Flex (VBG One Message AEM Migration) TQ4164 CTS,VZGTTQ00012090,New SOW,VCG Flex (VBG One Message AEM Migration) TQ4164 CTS,Kali Prasad
Global SOW,1000455006,Verizon-VCG HM Marketing Base,1000456949,Verizon-VCG HM Flex2.0 Marktng,Umar Mujeeb,VZGTTQ00011151,Old SOW,VCG Flex (Marketing Base Personalization) TQ4164 CTS,VZGTTQ00011917,New SOW,VCG Flex (Marketing Base Personalization) TQ9703 CTS,Kali Prasad
Global SOW,,,1000440471,Verizon-VCG Flex S&P Enterpris,,,,,VZGTTQ00010502,New SOW,TSGI Flex - VCG Solution Architecture SOW with Cognizant - Ravi Thomare,Dipanakr Roy
Global SOW,,,1000449935,Verizon-VCG CVR Equifax-APR 20,,,,,VZGTTQ00010960,New SOW,Flex VCG-CTS - ELEU Equifax Verification - VZGTTQ00010109,Dipanakr Roy
India SOW,,,1000458633,VDSI-Flex-H&M-Base Marketing,Mangala Seetharaman ,,,,VZGTTQ00011931,New SOW,VCG VZI_Base Marketing_CTS_Sai,Kali Prasad
India SOW,,,1000458648,VDSI-Flex-H&M-Unified communications & Pega QA,Mangala Seetharaman ,,,,VZGTTQ00011913,New SOW,VCG VZI_Unified communications & Pega QA_CTS_Amjad,Kali Prasad
India SOW,,,1000458649,VDSI-Flex-H&M-Marketing Products & Platforms,Mangala Seetharaman ,,,,VZGTTQ00011836,New SOW,VCG VZI_Device & Accessory/ Consumer Products/ MarketingAutomation_CTS_Arun,Ranjith 
